,States\Chief of Ports Town,One Star-Hotels,One Star-Rooms,Two Star-Hotels,Two Star-Rooms,Three Star-Hotels,Three Star-Rooms,Four Star-Hotels,Four Star-Rooms,Five Star-Hotels,Five Star-Rooms,Others-Hotels,Others-Rooms,newcol
0, Andhra Pradesh,2.0,49.0,10.0,262.0,106.0,6137.0,8.0,863.0,7.0,991.0,5.0,1021.0,8302.0
1, Arunachal Pradesh,,,,,,,,,,,,,
2, Assam,,,8.0,225.0,20.0,720.0,2.0,148.0,,,2.0,6.0,
3, Bihar,,,,,4.0,196.0,4.0,214.0,,,,,
4, Chhattisgarh,,,1.0,13.0,1.0,31.0,,,,,,,
5, Goa,1.0,26.0,13.0,737.0,13.0,847.0,4.0,480.0,13.0,1662.0,24.0,3605.0,3752.0
6, Gujarat,1.0,10.0,9.0,461.0,30.0,1521.0,5.0,279.0,9.0,742.0,6.0,114.0,3013.0
7, Haryana,1.0,136.0,3.0,60.0,48.0,2816.0,12.0,1080.0,2.0,212.0,161.0,1431.0,4304.0
8, Himachal Pradesh,,,5.0,135.0,7.0,207.0,1.0,41.0,3.0,213.0,19.0,500.0,
9, Jammu & Kashmir,,,,,3.0,190.0,1.0,44.0,,,2.0,237.0,
10, Jharkhand,,,1.0,28.0,4.0,148.0,1.0,25.0,,,,,
11, Karnataka,7.0,384.0,6.0,332.0,34.0,1946.0,4.0,351.0,10.0,1474.0,19.0,1921.0,4487.0
12, Kerala,8.0,273.0,98.0,1888.0,305.0,7480.0,31.0,1793.0,14.0,1184.0,28.0,944.0,12618.0
13, Madhya Pradesh ,2.0,118.0,4.0,120.0,32.0,1551.0,1.0,52.0,6.0,500.0,11.0,499.0,2341.0
14, Maharashtra,8.0,249.0,38.0,1274.0,55.0,3009.0,27.0,2210.0,30.0,3626.0,57.0,10887.0,10368.0
15, Manipur ,,,,,1.0,59.0,,,,,,,
16, Meghalaya ,,,,,,,2.0,100.0,,,,,
17, Mizoram,,,,,,,,,,,,,
18, Nagaland ,1.0,19.0,,,,,,,,,,,
19, Odisha,3.0,102.0,2.0,61.0,6.0,386.0,3.0,179.0,,,2.0,123.0,
20, Punjab,2.0,29.0,44.0,717.0,55.0,1588.0,7.0,358.0,2.0,178.0,2.0,365.0,2870.0
21, Rajasthan,1.0,19.0,16.0,639.0,30.0,1528.0,3.0,138.0,18.0,1685.0,122.0,3574.0,4009.0
22, Sikkim,,,8.0,130.0,5.0,117.0,,,1.0,58.0,1.0,25.0,
23, Tamil Nadu,18.0,804.0,14.0,554.0,37.0,2459.0,12.0,1525.0,10.0,1291.0,13.0,1427.0,6633.0
24, Tripura,,,,,1.0,101.0,,,,,,,
25, Uttarakhand,2.0,34.0,6.0,115.0,17.0,869.0,2.0,125.0,,,15.0,146.0,
26, Uttar Pradesh,2.0,76.0,6.0,240.0,35.0,1321.0,5.0,270.0,13.0,1919.0,179.0,2646.0,3826.0
27, West Bengal ,,,5.0,135.0,11.0,433.0,5.0,411.0,3.0,349.0,9.0,1378.0,
28, A. & N. Islands,1.0,13.0,,,2.0,48.0,1.0,45.0,1.0,45.0,,,
29, Chandigarh,,,1.0,12.0,4.0,92.0,,,1.0,155.0,,,
30, D. & N. Haveli ,,,,,4.0,173.0,2.0,194.0,,,,,
31, Daman and Diu,,,,,1.0,42.0,,,,,,,
32, Delhi,8.0,196.0,9.0,308.0,18.0,570.0,14.0,1134.0,6.0,860.0,233.0,10647.0,3068.0
33, Lakshadweep,,,,,,,,,,,,,
34, Puducherry,,,,,,,,,,,3.0,33.0,
